lag,time,C(t)
0,0.0000,1.000000
1,5.0000,0.873196
2,10.0000,0.866068
3,15.0000,0.863706
4,20.0000,0.864373
5,25.0000,0.861643
6,30.0000,0.859363
7,35.0000,0.856010
8,40.0000,0.855587
9,45.0000,0.857562
10,50.0000,0.856195
11,55.0000,0.856509
12,60.0000,0.856613
13,65.0000,0.853657
14,70.0000,0.853510
15,75.0000,0.855710
16,80.0000,0.853092
17,85.0000,0.853735
18,90.0000,0.849290
19,95.0000,0.848963
20,100.0000,0.846252
21,105.0000,0.853099
22,110.0000,0.849640
23,115.0000,0.848807
24,120.0000,0.845577
25,125.0000,0.846569
26,130.0000,0.845277
27,135.0000,0.843560
28,140.0000,0.844960
29,145.0000,0.844796
30,150.0000,0.840829
31,155.0000,0.840876
32,160.0000,0.838970
33,165.0000,0.839416
34,170.0000,0.838150
35,175.0000,0.835825
36,180.0000,0.836538
37,185.0000,0.840734
38,190.0000,0.839714
39,195.0000,0.838507
40,200.0000,0.832998
41,205.0000,0.836933
42,210.0000,0.835127
43,215.0000,0.837907
44,220.0000,0.832508
45,225.0000,0.831558
46,230.0000,0.832499
47,235.0000,0.832940
48,240.0000,0.832489
49,245.0000,0.832391
50,250.0000,0.833422
